supplier_product_id,supplier_product_name,supplier_name,supplier_price,supplier_category,original_product_id
SUP-PRD-00001,スタイリッシュ型デスクライト,東京インポート株式会社,26554.97,照明,PRD-INT-00001
SUP-PRD-00002,スタイリッシュデスク灯,大阪ディストリビューション株式会社,7254.05,照明,PRD-INT-00002
SUP-PRD-00003,モダンデスクランプ,グローバルトレード合同会社,24762.43,照明,PRD-INT-00003
SUP-PRD-00004,MinimalSpace LED調光デスクライト,グローバルトレード合同会社,12675.31,照明,PRD-INT-00004
SUP-PRD-00005,コンパクトデスク灯,東京インポート株式会社,25538.67,照明,PRD-INT-00005
SUP-PRD-00006,ＬＥＤ調光デスクライト,株式会社ノースライフ,4585.51,照明,PRD-INT-00006
SUP-PRD-00007,コンパクトデスク灯,東京インポート株式会社,22447.5,照明,PRD-INT-00007
SUP-PRD-00008,スタイリッシュデスクランプ,株式会社ノースライフ,7282.83,照明,PRD-INT-00008
SUP-PRD-00009,LED調光デスク灯,大阪ディストリビューション株式会社,20510.92,照明,PRD-INT-00009
SUP-PRD-00010,モダンデスク灯,大阪ディストリビューション株式会社,3316.81,照明,PRD-INT-00010
SUP-PRD-00011,モダンテーブルライト,東京インポート株式会社,7302.85,照明,PRD-INT-00011
SUP-PRD-00012,コンパクトデスクランプ,グローバルトレード合同会社,2963.4,照明,PRD-INT-00012
SUP-PRD-00013,モダンフロア型ライト,東京インポート株式会社,9884.72,照明,PRD-INT-00013
SUP-PRD-00014,北欧風フロアランプ,株式会社ノースライフ,26204.21,照明,PRD-INT-00014
SUP-PRD-00015,モダンフロアライト照明,大阪ディストリビューション株式会社,3427.2,照明,PRD-INT-00015
SUP-PRD-00016,スタンディングフロアランプ,株式会社ノースライフ,13564.72,照明,PRD-INT-00016
SUP-PRD-00017,北欧風フロアライト照明,東京インポート株式会社,16113.02,照明,PRD-INT-00017
SUP-PRD-00018,ModernLiving 北欧風フロアライト,グローバルトレード合同会社,21670.86,照明,PRD-INT-00018
SUP-PRD-00019,間接照明フロアライト照明,サプライチェーンジャパン株式会社,8582.61,照明,PRD-INT-00019
SUP-PRD-00020,GlacierStyle 北欧風フロアライト,東京インポート株式会社,11034.53,照明,PRD-INT-00020
SUP-PRD-00021,北欧風 フロアライト,サプライチェーンジャパン株式会社,5893.01,照明,PRD-INT-00021
SUP-PRD-00022,北欧風フロアランプ,大阪ディストリビューション株式会社,13500.75,照明,PRD-INT-00022
SUP-PRD-00023,間接照明フロアランプ,大阪ディストリビューション株式会社,28909.12,照明,PRD-INT-00023
SUP-PRD-00024,モダンフロアライト照明,サプライチェーンジャパン株式会社,15163.82,照明,PRD-INT-00024
SUP-PRD-00025,デザインシーリング灯,大阪ディストリビューション株式会社,9782.92,照明,PRD-INT-00025
SUP-PRD-00026,調光調色シーリングライト照明,大阪ディストリビューション株式会社,12893.92,照明,PRD-INT-00026
SUP-PRD-00027,NordicHome デザインシーリングライト,グローバルトレード合同会社,1378.73,照明,PRD-INT-00027
SUP-PRD-00028,調光調色シーリングライト照明,サプライチェーンジャパン株式会社,9747.19,照明,PRD-INT-00028
SUP-PRD-00029,調光調色シーリングライト照明,大阪ディストリビューション株式会社,21677.78,照明,PRD-INT-00029
SUP-PRD-00030,ＬＥＤシーリングライト,東京インポート株式会社,28710.31,照明,PRD-INT-00030
SUP-PRD-00031,デザインシーリングライト照明,東京インポート株式会社,10652.28,照明,PRD-INT-00031
SUP-PRD-00032,リモコン付きシーリング灯,サプライチェーンジャパン株式会社,2004.45,照明,PRD-INT-00032
SUP-PRD-00033,デザインシリングライト,サプライチェーンジャパン株式会社,11948.35,照明,PRD-INT-00033
SUP-PRD-00034,リモコン付きシーリング型ライト,グローバルトレード合同会社,19691.62,照明,PRD-INT-00034
SUP-PRD-00035,デザインシーリングランプ,株式会社ノースライフ,27988.36,照明,PRD-INT-00035
SUP-PRD-00036,デザインシーリングライト照明,グローバルトレード合同会社,15070.08,照明,PRD-INT-00036
SUP-PRD-00037,吊り下げペンダントランプ,サプライチェーンジャパン株式会社,23919.1,照明,PRD-INT-00037
SUP-PRD-00038,北欧風ペンダントライト照明,大阪ディストリビューション株式会社,7286.04,照明,PRD-INT-00038
SUP-PRD-00039,GlacierStyle 北欧風ペンダントライト,東京インポート株式会社,7928.15,照明,PRD-INT-00039
SUP-PRD-00040,モダンペンダントランプ,グローバルトレード合同会社,3619.54,照明,PRD-INT-00040
SUP-PRD-00041,ペンダントライト,東京インポート株式会社,10677.13,照明,PRD-INT-00041
SUP-PRD-00042,ガラスペンダントランプ,サプライチェーンジャパン株式会社,25384.3,照明,PRD-INT-00042
SUP-PRD-00043,北欧ペンダントライト,株式会社ノースライフ,26243.72,照明,PRD-INT-00043
