supplier_product_id,supplier_product_name,supplier_name,supplier_price,supplier_category,original_product_id
SUP-V2-00001,ＬＥＤ調光デスクライト,東京インポート株式会社,12980,照明,PRD-INT-00004
SUP-V2-00002,モダン デスク ライト,大阪ディストリビューション株式会社,8450,照明,PRD-INT-00003
SUP-V2-00003,コンパクト デスクライト,グローバルトレード合同会社,25100,照明,PRD-INT-00005
SUP-V2-00004,スタイリッシュ デスクライト,株式会社ノースライフ,7890,照明,PRD-INT-00001
SUP-V2-00005,北欧風 フロアライト,サプライチェーンジャパン株式会社,26500,照明,PRD-INT-00014
SUP-V2-00006,ＬＥＤシーリングライト,東京インポート株式会社,29200,照明,PRD-INT-00030
SUP-V2-00007,ガラスペンダントライト,グローバルトレード合同会社,27100,照明,PRD-INT-00042
SUP-V2-00008,Ｌ字型デスク,名古屋商事株式会社,23800,家具,PRD-INT-00050
SUP-V2-00009,オフィス チェア,大阪ディストリビューション株式会社,19600,家具,PRD-INT-00061
SUP-V2-00010,ダイニング チェア,株式会社ノースライフ,18900,家具,PRD-INT-00062
SUP-V2-00011,ブック シェルフ,サプライチェーンジャパン株式会社,28400,家具,PRD-INT-00074
SUP-V2-00012,ディスプレイ ラック,東京インポート株式会社,28100,家具,PRD-INT-00073
SUP-V2-00013,ダイニング テーブル,グローバルトレード合同会社,19900,家具,PRD-INT-00086
SUP-V2-00014,コーヒー テーブル,名古屋商事株式会社,26800,家具,PRD-INT-00096
SUP-V2-00015,置き 時計,大阪ディストリビューション株式会社,27800,装飾品,PRD-INT-00099
SUP-V2-00016,振り子 時計,株式会社ノースライフ,9200,装飾品,PRD-INT-00097
SUP-V2-00017,モダン花瓶,サプライチェーンジャパン株式会社,24100,装飾品,PRD-INT-00109
SUP-V2-00018,ウォール フレーム,東京インポート株式会社,5300,装飾品,PRD-INT-00121
SUP-V2-00019,デジタル 時計,グローバルトレード合同会社,9800,装飾品,PRD-INT-00103
SUP-V2-00020,エルゴノミクス チェア,名古屋商事株式会社,18500,家具,PRD-INT-00066
SUP-V2-00021,スタイリッシュデスク灯,大阪ディストリビューション株式会社,8100,照明,PRD-INT-00002
SUP-V2-00022,モダンデスクランプ,グローバルトレード合同会社,3400,照明,PRD-INT-00010
SUP-V2-00023,コンパクトデスクランプ,東京インポート株式会社,3100,照明,PRD-INT-00012
SUP-V2-00024,北欧風フロアランプ,株式会社ノースライフ,15800,照明,PRD-INT-00017
SUP-V2-00025,間接照明フロアランプ,サプライチェーンジャパン株式会社,28200,照明,PRD-INT-00019
SUP-V2-00026,スタンディングフロア灯,東京インポート株式会社,13800,照明,PRD-INT-00016
SUP-V2-00027,デザインシーリング灯,大阪ディストリビューション株式会社,11600,照明,PRD-INT-00025
SUP-V2-00028,調光調色シーリング灯,グローバルトレード合同会社,13600,照明,PRD-INT-00026
SUP-V2-00029,吊り下げペンダントランプ,名古屋商事株式会社,28300,照明,PRD-INT-00037
SUP-V2-00030,北欧ペンダントランプ,株式会社ノースライフ,8500,照明,PRD-INT-00038
SUP-V2-00031,収納付きテーブル,サプライチェーンジャパン株式会社,16300,家具,PRD-INT-00049
SUP-V2-00032,スタンディングテーブル,東京インポート株式会社,17800,家具,PRD-INT-00053
SUP-V2-00033,シンプルテーブル,大阪ディストリビューション株式会社,29500,家具,PRD-INT-00054
SUP-V2-00034,ダイニングイス,グローバルトレード合同会社,19200,家具,PRD-INT-00062
SUP-V2-00035,ゲーミングチェアー,名古屋商事株式会社,20500,家具,PRD-INT-00064
